County,Precinct,First Expression,Final Expression,SDE
Jackson,Jackson 01,124,124,2.2286
,Jackson 12,18,18,0.6856
,Jackson 06,47,47,0.6856
,Jackson 16,75,73,1.0287
,Jackson 05,20,20,0.5142
,Jackson 11,19,17,0.3428
,Jackson 08,26,26,0.5142
,Jackson 13,37,29,0.5142
,Jackson 07,77,77,1.0286
,Jackson 14,47,47,0.6856
,Jackson 02,42,42,0.5142
,Jackson 15,53,53,0.8571
,Jackson 09,56,56,0.8571
,Total,641,629,10.4565
Jasper,Newton 2-2,125,122,1.265
,Newton 1-2,57,56,1.15
,Palo Alto,42,42,0.575
,HG/K/RC/BV/RL,136,136,1.955
,Newton 2-1,102,100,1.61
,Newton 4-1,161,159,1.84
,Indep/Malaka/Mariposa,101,101,1.38
,Clear Creek/Poweshiek,80,80,1.035
,Des Moines,66,64,1.265
,Mound Prairie/Washington,63,52,0.69
,Colfax Ward 1,38,38,0.46
,Newton 3-1,103,103,1.61
,Fairview,85,85,1.495
,Colfax Ward 3,16,16,0.46
,Newton 3-2,65,63,1.15
,Newton 1-1,74,74,1.495
,Total,1314,1291,19.435
Jefferson,Center-Cedar-Maharishi Vedic City,270,242,1.7454
,Fairfield 1st Ward,289,273,1.9636
,Fairfield 5th Ward,178,161,1.5273
,Fairfield 2nd Ward,451,415,2.4
,Fairfield 4th Ward,339,318,1.7455
,Fairfield 3rd Ward,78,78,0.8727
,Des Moines-Liberty-Libertyville,17,17,0.2182
,Blackhawk-Polk-Packwood,33,33,0.2182
,Total,1655,1537,10.6909
Johnson,IOWA CITY 24,627,573,4.86
,IOWA CITY 18,837,828,4.86
,IOWA CITY 06,513,461,4.455
,HILLS,68,68,0.81
,OXFORD TOWNSHIP/OXFORD,112,74,1.215
,CEDAR TOWNSHIP,65,65,0.405
,GRAHAM TOWNSHIP,54,0,0.405
,LIBERTY-PLEASANT VALLEY,63,61,0.81
,BIG GROVE TOWNSHIP,167,68,1.62
,HARDIN TOWNSHIP,55,55,0.405
,NL06/MADISON /CCN,395,351,4.455
,IOWA CITY 16,589,533,4.455
,IOWA CITY 21,785,715,4.05
,IOWA CITY 01,650,643,4.86
,IOWA CITY 14,473,441,3.645
,PENN/ EAST LUCAS NORTH,584,547,4.05
,FREMONT-LINCOLN (INCLUDES,113,113,1.62
,CORALVILLE 03,228,228,2.025
,WEST LUCAS TOWNSHIP,74,74,1.215
,UNIVERSITY HEIGHTS,312,296,1.62
,SCOTT TWP-WEST BRANCH,157,157,1.62
,UNION TOWNSHIP,94,94,0.81
