County,Precinct,First Expression,Final Expression,SDE
,PCT 4 LYON ELLSWORTH,14,14,0.2000
,Webster City 3,16,17,0.3000
,Webster City 2,38,39,0.7000
,Webster City 1,39,40,0.6000
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,20,27,0.4000
,PCT 5 LINCOLN ROSE GROVE SCOTT,8,11,0.3000
,Total,147,162,2.7000
Hancock,Precinct 04,17,20,0.5000
,Precinct 02,4,4,0.1000
,Precinct 08,8,8,0.1000
,Precinct 03,4,4,0.1000
,Precinct 06,24,26,0.5000
,Precinct 10,4,4,0.1000
,Precinct 07,4,7,0.1000
,Precinct 09,1,0,0
,Precinct 01,11,12,0.2000
,Total,77,85,1.7000
Hardin,Eldora City,19,19,0.2880
,Alden/Buckeye,6,6,0.0720
,Etna/Clay,14,14,0.2880
,Iowa Falls #1,31,35,0.5040
,Concord/Sherman/Grant/Tip,16,16,0.2160
,Eldora/Pleasant/Prov/Unio,15,21,0.5040
,Hardin/Ellis/Jackson,14,14,0.2160
,Total,115,125,2.0880
Harrison,Precinct #08-Modale,6,6,0.2800
,Precinct #01-Little Sioux,2,0,0
,Precinct #06-Boyer/Lincoln,5,5,0.0933
,Precinct #05-Magnolia,10,11,0.1867
,Precinct #13-Persia,5,5,0.0933
,Precinct #03-Dunlap,18,21,0.2800
,Precinct #11 - St. John,12,17,0.1867
,Precinct #02-Pisgah,5,5,0.0933
,Precinct #10 - Logan,4,0,0
,Precinct #04-Mondamin,4,6,0.0933
,Total,71,76,1.3066
Henry,Southwest Precinct,11,11,0.1333
,Mt. Pleasant Ward 1,18,21,0.3333
,Northeast Precinct,19,24,0.4667
,Northwest Precinct,24,26,0.3333
,Mt. Pleasant Ward 2,14,14,0.2667
,Central Precinct,2,0,0
,Mt. Pleasant Ward 3,20,20,0.2667
,Total,108,116,1.8000
Howard,Albion/Forest City,6,6,0.1429
,Cresco 2,11,13,0.1429
,Afton/Howard/Paris,7,7,0.2857
,Jamestown/Oakdale,5,7,0.1429
,Cresco 3,19,20,0.2857
,Saratoga/Howard Ctr/Chest,4,4,0.1429
,New Oregon,4,5,0.1429
,Vernon Springs,12,12,0.2857
,Total,68,74,1.5716
Humboldt,Humboldt 2-Beaver-South Norway,5,0,0
,Dakota City-Grove,8,9,0.1778
,Delana-Wacousta-North Rutland,3,0,0
,Humboldt 3-South Rutland,19,21,0.3556
,North Lake-East Vernon,1,1,0.0889
,Humboldt 1-Corinth-South Weaver,21,23,0.3556
,South Lake-North Norway,3,3,0.0889
,Total,60,57,1.0668
Ida,City of Holstein,13,19,0.3000
,Ida Grove Ward 1,8,8,0.1500
,Ida Grove Ward 3,3,5,0.1500
,Ida Grove Ward 2,5,7,0.1500
,City of Arthur,4,7,0.1500
,City of Battle Creek & Grant Township,7,10,0.3000
,Total,40,56,1.2000
Iowa,English II,14,19,0.2000
,Honey Creek/Marengo Rural,5,5,0.1000
,Dayton/English I,4,0,0
,Lenox/Iowa,33,40,0.5000
,Williamsburg,30,36,0.6000
,Marengo City,14,14,0.3000
,Fillmore/Greene,12,12,0.2000
,Hilton/Washington,11,18,0.2000
,Pilot/Troy/York,9,9,0.2000
,Hartford I/Sumner,0,0,0
,Hartford II/Lincoln,13,18,0.3000
,Total,145,171,2.6000
Jackson,Jackson 01,37,43,0.8571
,Jackson 02,11,16,0.1714
,Jackson 08,6,9,0.1714
,Jackson 05,6,7,0.1714
,Jackson 16,21,25,0.3429
,Jackson 11,7,7,0.1714
,Jackson 15,14,19,0.3429
,Jackson 07,23,26,0.3429
,Jackson 06,16,16,0.1714
,Jackson 14,11,12,0.1714
,Jackson 13,8,0,0
,Jackson 12,5,5,0.1714
,Jackson 09,16,20,0.3429
,Total,181,205,3.4285
Jasper,Newton 3-1,24,33,0.5750
,Colfax Ward 1,15,16,0.1150
,Newton 2-2,40,43,0.4600
,Newton 2-1,22,22,0.3450
,Indep/Malaka/Mariposa,32,39,0.5750
,Clear Creek/Poweshiek,23,23,0.3450
,Newton 3-2,26,28,0.4600
,Colfax Ward 3,4,6,0.2300
,Palo Alto,14,16,0.2300
,Mound Prairie/Washington,18,27,0.3450
,Fairview,20,20,0.3450
,Newton 4-1,42,45,0.4600
,Newton 1-2,14,18,0.3450
,Newton 1-1,25,27,0.5750
,Des Moines,13,19,0.3450
,HG/K/RC/BV/RL,33,38,0.5750
,Total,365,420,6.3250
Jefferson,Fairfield 1st Ward,31,0,0
,Fairfield 3rd Ward,4,0,0
,Blackhawk-Polk-Packwood,2,0,0
,Center-Cedar-Maharishi Vedic City,33,43,0.2182
,Fairfield 4th Ward,34,61,0.4364
,Fairfield 5th Ward,27,40,0.4364
,Fairfield 2nd Ward,28,0,0
,Des Moines-Liberty-Libertyville,5,11,0.2182
,Total,164,155,1.3092
Johnson,IOWA CITY 21,72,54,0
,IOWA CITY 18,87,26,0
,GRAHAM TOWNSHIP,11,0,0
,HARDIN TOWNSHIP,12,0,0
,NEWPORT TOWNSHIP,65,70,0.8100
,PENN/ EAST LUCAS NORTH,118,156,1.2150
,UNION TOWNSHIP,21,30,0.4050
,CEDAR TOWNSHIP,12,12,0
,BIG GROVE TOWNSHIP,35,0,0
,JEFFERSON EAST/SHUEYVILLE,51,61,0.8100
,IOWA CITY 11,65,105,0.8100
,CORALVILLE 01,67,100,0.8100
,IOWA CITY 20,79,95,0.8100
,IOWA CITY 19,45,0,0
,IOWA CITY 03,62,0,0
,IOWA CITY 12/EAST LUCAS SE,45,57,0.8100
,IOWA CITY 05,110,125,0.8100
,IOWA CITY 16,99,138,1.2150
,IOWA CITY 02,48,0,0
,IOWA CITY 09,57,79,0.8100
,CORALVILLE 03,47,50,0.4050
,LIBERTY-PLEASANT VALLEY,4,0,0
,FREMONT-LINCOLN (INCLUDES,22,25,0.4050
,WEST LUCAS TOWNSHIP,6,0,0
,HILLS,19,36,0.4050
,OXFORD TOWNSHIP/OXFORD,22,22,0.4050
,UNIVERSITY HEIGHTS,50,60,0.4050
,SCOTT TWP-WEST BRANCH,26,28,0.4050
,CLEAR CREEK/TIFFIN,79,90,0.8100
,CORALVILLE 02,80,87,0.8100
,NORTH LIBERTY 03 (PW),108,129,1.2150
,NORTH LIBERTY 01,85,103,1.2150
,IOWA CITY 08,105,121,1.2150
,NORTH LIBERTY 02,61,69,0.8100
,CORALVILLE 06,121,126,0.8100
,CORALVILLE 07,78,95,0.8100
,NORTH LIBERTY 05,56,68,0.8100
,NORTH LIBERTY 04,32,36,0.4050
,IOWA CITY 24,172,211,1.6200
,CORALVILLE 05,46,67,0.8100
,IOWA CITY 15,31,50,0.4050
,IOWA CITY 13,43,69,0.4050
,IOWA CITY 22,76,88,0.4050
,IOWA CITY 14,61,79,0.8100
,IOWA CITY 04,115,131,0.8100
,IOWA CITY 06,65,0,0
,CORALVILLE 04,51,66,0.8100
,IOWA CITY 10/ELSW,50,71,0.8100
,IOWA CITY 01,102,110,0.8100
,IOWA CITY 07,85,141,1.2150
,NL06/MADISON /CCN,97,139,1.6200
,Total,"3,156","3,475",31.1850
Jones,OX-OXFORD,3,0,0
,FV-FAIRVIEW,19,21,0.4800
,ANS-ANAMOSA SOUTH/JACKSON,31,41,0.8000
,GF-GREENFIELD,5,5,0.1600
,RLWS-RICHLAND WASHINGTON,17,18,0.3200
,SGMC-SC GRV/MADISON/CLAY,6,6,0.1600
,MN2-MONTICELLO 2,4,0,0
,MN3-MONTICELLO 3,6,9,0.1600
,MN4-MONTICELLO 4,8,10,0.1600
,CGLW-CASTLE GRV/LOV/WAYN,12,18,0.3200
,MN1-MONTICELLO 1,7,7,0.1600
,ANN-ANAMOSA NORTH/CASS,15,24,0.4800
,ROHA-ROME/HALE,10,10,0.3200
,Total,143,169,3.5200
Keokuk,Lafayette/Clear Creek,8,8,0.1143
,English River/Liberty,6,8,0.1143
,Sigourney 4th Ward,6,10,0.1143
,Sigourney 3rd Ward,5,6,0.1143
,Sigourney 1st Ward,3,0,0
,Jackson,0,0,0
,Warren,2,2,0
,Richland,6,6,0.1143
,Sigourney/Plank/Van Buren,5,5,0.1143
,Adams,7,9,0.1143
,Sigourney 2nd Ward,10,11,0.1143
,Benton/Steady Run,12,14,0.1143
,Prairie,0,0,0
,What Cheer/Washington,2,0,0
,Total,72,79,1.0287
Kossuth,AL3,14,14,0.2667
,AL1,10,10,0.1778
,HB- LY- LN- SF,3,4,0.1778
,BT- FT- UN,10,10,0.1778
,IV- PC,3,3,0.0889
,LC,3,3,0.0889
,UN,2,2,0.0889
,AL4,18,21,0.3556
,GF- WM,4,8,0.1778
,EG- GT- HS- SW,5,6,0.2667
,PC,4,4,0.0889
,CR- IV- RV,13,16,0.1778
,AL2,18,19,0.3556
,GW- SN,1,1,0
,LV- SM,6,7,0.0889
,GM- RM,5,6,0.0889
,BF- PT,13,15,0.2667
,Total,132,149,2.9337
Lee,Fort Madison 5,30,35,0.7000
,Keokuk 2,2,4,0.1400
,Montrose,31,31,0.4200
,Franklin/Cedar/Marion/Harison,19,25,0.5600
,Fort Madison 2,36,34,0.5600
,Charleston/DSM/Van Buren,7,7,0.1400
,Keokuk 1,24,24,0.2800
,Keokuk 3,18,19,0.2800
,Jefferson,18,18,0.2800
,Keokuk 4,14,21,0.5600
