County,Precinct,First Expression,Final Expression,SDE
,Jefferson 3 Precinct,84,83,1.44
,Total,362,358,6.0
Grundy,PRECINCT 3,16,15,0.4
,PRECINCT 1,42,42,0.8999999999999999
,PRECINCT 6,77,76,1.3
,PRECINCT 2,27,27,0.30000000000000004
,PRECINCT 4,23,19,0.30000000000000004
,Total,185,179,3.2
Guthrie,Black,24,24,0.4285
,Red,20,20,0.2571
,Purple,89,89,1.3714
,Blue,101,94,1.3715
,Brown,26,26,0.5142
,Green,26,26,0.6857
,Total,286,279,4.6284
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,38,38,0.7
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,29,27,0.5
,PCT 4 LYON ELLSWORTH,81,81,1.2
,Webster City 3,62,62,1.2
,Webster City 2,117,117,2.0
,Webster City 1,120,120,1.7
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,71,71,1.1
,PCT 5 LINCOLN ROSE GROVE SCOTT,25,25,0.6000000000000001
,Total,543,541,9.0
Hancock,Precinct 04,45,42,1.0
,Precinct 02,7,7,0.2
,Precinct 08,15,13,0.2
,Precinct 03,7,7,0.2
,Precinct 06,86,86,1.7000000000000002
,Precinct 10,8,8,0.2
,Precinct 07,25,25,0.4
,Precinct 09,21,21,0.4
,Precinct 01,52,52,0.6
,Total,266,261,4.9
Hardin,Eldora City,77,77,1.224
,Alden/Buckeye,37,37,0.72
,Etna/Clay,59,59,1.224
,Iowa Falls #1,100,100,1.368
,Concord/Sherman/Grant/Tip,76,76,1.152
,Eldora/Pleasant/Prov/Unio,37,37,0.864
,Hardin/Ellis/Jackson,62,62,0.8639999999999999
,Total,448,448,7.416
Harrison,Precinct #08-Modale,10,10,0.4667
,Precinct #01-Little Sioux,7,6,0.1866
,Precinct #06-Boyer/Lincoln,19,19,0.2799
,Precinct #05-Magnolia,35,34,0.56
,Precinct #13-Persia,26,26,0.3732
,Precinct #03-Dunlap,69,65,0.8401
,Precinct #11 - St. John,51,49,0.6534
,Precinct #02-Pisgah,15,15,0.2799
,Precinct #10 - Logan,34,34,0.7467
,Precinct #04-Mondamin,19,19,0.3733
,Total,285,277,4.7598
Henry,Southwest Precinct,53,53,0.6665
,Mt. Pleasant Ward 1,74,66,1.0667
,Northeast Precinct,48,48,0.8667
,Northwest Precinct,68,68,0.8666
,Mt. Pleasant Ward 2,73,73,1.2001
,Central Precinct,106,101,1.3334
,Mt. Pleasant Ward 3,81,81,1.1334
,Total,503,490,7.1334
Howard,Albion/Forest City,26,26,0.42869999999999997
,Cresco 2,59,59,0.8572
,Afton/Howard/Paris,24,22,0.8572000000000001
,Jamestown/Oakdale,17,12,0.2858
,Cresco 3,55,55,0.7144
,Saratoga/Howard Ctr/Chest,13,13,0.42869999999999997
,New Oregon,15,15,0.4286
,Vernon Springs,32,29,0.7144
,Total,241,231,4.715
Humboldt,Humboldt 2-Beaver-South Norway,58,58,0.8001
,Dakota City-Grove,23,23,0.4445
,Delana-Wacousta-North Rutland,23,21,0.26670000000000005
